lichess_id,ply,result,player,time_scramble_bracket,player_elo
3vlcHX7M,62,1-0,Black,<=5s vs 5-10s,1598
x5wjxEz1,44,0-1,Black,<=5s vs 5-10s,958
4TLrXrC1,83,1-0,White,<=5s vs 5-10s,2395
1LieVRon,108,1/2-1/2,Black,<=5s vs 5-10s,2488
VxrhThHH,118,0-1,Black,<=5s vs 10-15s,1458
CbH3Ln1h,92,0-1,Black,<=5s vs 15-20s,1649
tzvO6GxQ,73,0-1,White,<=5s vs 5-10s,1367
yGWyCflF,75,1-0,White,<=5s vs 10-15s,2127
2a9o90Uf,93,1-0,White,<=5s vs 10-15s,2063
WsennsHw,51,1-0,White,<=5s vs 15-20s,1291
g9o1Wdg4,62,1-0,Black,<=5s vs 5-10s,2192
SNoUiOY9,43,1-0,White,<=5s vs 5-10s,1127
F95Mbi4d,70,1-0,Black,<=5s vs <=5s,1784
7TiaeZ9k,98,1-0,Black,<=5s vs 5-10s,2610
XP9kxiUg,90,0-1,Black,<=5s vs 15-20s,2977
YUAg3ydU,57,1-0,White,<=5s vs 15-20s,1493
scdIgSGI,65,1-0,White,<=5s vs 15-20s,1156
zqnA52Pa,81,1-0,White,<=5s vs 5-10s,1773
KOdmQY5J,48,0-1,Black,<=5s vs 15-20s,1810
XxOHBHlT,53,1-0,White,<=5s vs 5-10s,1453
tW5p0tnY,51,0-1,White,<=5s vs 10-15s,1834
1z5sn0wx,63,1-0,White,<=5s vs 15-20s,1717
MVbgBN8x,130,0-1,Black,<=5s vs 10-15s,2116
KIYsyZ5x,66,0-1,Black,<=5s vs 10-15s,1274
KfZDIiVZ,51,1-0,White,<=5s vs 10-15s,1410
AUF6Whqc,34,0-1,Black,<=5s vs 15-20s,615
jo6wm3z6,114,1-0,Black,<=5s vs 5-10s,2506
CWwuefER,88,0-1,Black,<=5s vs 10-15s,1551
J37Ew5Nq,66,0-1,Black,<=5s vs 5-10s,1428
qNqmbjqP,94,0-1,Black,<=5s vs 5-10s,2995
i5F8ARRU,42,0-1,Black,<=5s vs 5-10s,1294
YYrSNiLU,48,1-0,Black,<=5s vs 5-10s,1637
EQe09AN0,69,1-0,White,<=5s vs <=5s,1564
ege6hdpU,88,1-0,Black,<=5s vs <=5s,1794
